sonde,hr,tem,u_wind,v_wind,sid,sshs,rmw,quad,dist,duct
data/sondes/qc/HURR1_/g122225079QC.nc,0.5916103554480346,276.2199999332428,-2.0134559,-5.4627604,2018268N14253,1.0,15.0,4,2190.1041454151764,False
data/sondes/qc/HURR1_/g122225080QC.nc,1.2030791239917364,290.92000045776365,7.2166796,9.104707,2018280N18273,4.0,10.0,3,197.81906196220896,False
data/sondes/qc/HURR1_/g122225081QC.nc,0.4922557071174311,275.8200000762939,0.64868236,5.0294175,2018268N14253,1.0,15.0,4,2577.218482091279,False
data/sondes/qc/HURR1_/g122225127QC.nc,0.5972230961625125,275.7800001144409,2.1995077,2.4880276,2018268N14253,1.0,15.0,4,2373.9898453221813,False
data/sondes/qc/HURR1_/g122225162QC.nc,0.004939363399331408,209.960001373291,8.000595,18.02123,2016273N13300,4.0,5.0,1,296.6804870089528,True
data/sondes/qc/HURR1_/g122225163QC.nc,0.004202176798904638,207.91999664306638,6.919583,-10.990571,2016273N13300,4.0,7.0,2,2016.1727692354725,False
data/sondes/qc/HURR1_/g122225177QC.nc,0.002453020771095502,206.92999877929685,11.663735,15.609438,2016273N13300,4.0,5.0,2,1015.4750804422089,True
data/sondes/qc/HURR1_/g122225178QC.nc,0.002372512141607165,211.74000015258787,13.994753,15.248041,2012296N14283,1.0,95.0,2,228.06149808069478,False
data/sondes/qc/HURR1_/g122225180QC.nc,0.005857906351322154,211.26999893188474,9.022804,-1.0742208,2016273N13300,4.0,5.0,4,173.63622550047398,False
data/sondes/qc/HURR1_/g122225181QC.nc,1.6544487763780307,292.61999931335447,0.62866515,6.3180914,2015237N14315,0.0,30.0,1,242.05822787836374,False
data/sondes/qc/HURR1_/g122225188QC.nc,0.005593911142771254,210.10999908447263,9.903091,5.205742,2016273N13300,4.0,10.0,2,1449.729954705349,True
data/sondes/qc/HURR1_/g122225189QC.nc,1.3181442599764146,287.20000019073484,23.770725,33.845257,2014236N22288,1.0,35.0,3,272.68668245366206,False
data/sondes/qc/HURR1_/g122225190QC.nc,0.002101386782669173,209.44000091552732,14.4379,13.234661,2012296N14283,1.0,90.0,1,379.88540189004686,False
data/sondes/qc/HURR1_/g122235048QC.nc,0.0018010493625027029,207.77999725341795,-12.319039,-9.59142,2015237N14315,0.0,50.0,4,365.7652976402296,False
data/sondes/qc/HURR1_/g122235054QC.nc,0.0031595402581571065,217.67000045776365,21.257738,8.926164,2012296N14283,1.0,90.0,3,555.2032899351304,False
data/sondes/qc/HURR1_/g122235063QC.nc,1.1746776402573786,289.0999998092651,25.685865,12.043142,2014236N22288,1.0,35.0,3,291.9402693365466,False
data/sondes/qc/HURR1_/g122455001QC.nc,0.0009140418265927089,206.41000213623045,-2.8880951,-24.205463,2014212N11242,1.0,15.0,2,393.170696922341,True
data/sondes/qc/HURR1_/g122455002QC.nc,0.0021631741094917762,207.85999908447263,1.5179824,31.322176,2012296N14283,1.0,72.0,2,317.5025003241895,False
data/sondes/qc/HURR1_/g122455003QC.nc,0.0010250883138349562,204.9899963378906,-2.8309705,1.7356232,2014284N10231,0.0,20.0,2,229.15051376573203,False
data/sondes/qc/HURR1_/g122455004QC.nc,0.002177382047576112,210.10000076293943,4.9309053,-15.202246,2014274N15260,-3.0,80.0,1,2217.3140867596408,True
data/sondes/qc/HURR1_/g122455005QC.nc,0.0011415466726712822,210.17000045776365,6.4577255,-16.788057,2014274N15260,-3.0,80.0,1,2295.4521982757947,False
data/sondes/qc/HURR1_/g122455006QC.nc,0.0010072075361184484,207.3700012207031,8.347873,-0.3012181,2014212N11242,2.0,15.0,3,150.70340072069055,False
data/sondes/qc/HURR1_/g122455007QC.nc,1.098228914641535,287.22999992370603,-6.938743,-12.983887,2015229N10331,0.0,17.0,1,145.75620396097884,False
data/sondes/qc/HURR1_/g122455008QC.nc,0.002648912420822278,210.33999862670896,5.891269,-15.52539,2014274N15260,-3.0,80.0,1,2271.196119823414,False
data/sondes/qc/HURR1_/g122455010QC.nc,0.0008893569229501733,205.89999999999998,-1.467447,-14.814492,2014212N11242,1.0,15.0,2,653.1854421514679,True
data/sondes/qc/HURR1_/g122455011QC.nc,0.002247523200911403,210.4699996948242,20.135536,29.227844,2012296N14283,1.0,72.0,1,614.7978980812393,True
data/sondes/qc/HURR1_/g122455012QC.nc,0.9108837485607206,285.5099996566772,21.235472,20.306936,2012234N16315,0.0,30.0,4,253.73437188514387,False
data/sondes/qc/HURR1_/g122455013QC.nc,1.0237761045471019,284.95000019073484,-3.6703355,29.417864,2012234N16315,1.0,35.0,4,289.0194330104619,False
data/sondes/qc/HURR1_/g122455014QC.nc,0.0021313276668486593,211.42999877929685,6.4402523,14.670782,2012296N14283,0.0,70.0,4,463.1472206547907,False
data/sondes/qc/HURR1_/g122455015QC.nc,0.9390906941553123,286.65,-3.728035,-23.900223,2012234N16315,0.0,40.0,3,135.54501116114403,False
